dbname,n,d,k,range,sigma_ratio,Measure,n_init,n_iter,iter,Purity,NMI,ARI,AMI,Homogeneity,Silhouette,Accuracy,Precision,Recall,Time,LSH_time,Score,Scoringtime
Balance-scale,625,4,3,-1,-1,Overlap,5,100,15,0.44,0.0990590201012838,0.12487027457263236,0.09614763675636877,0.09099586779028446,0.10292173877427328,0.582425641025641,0.5182959300114112,0.40634841110793013,0.014500599999999997,-1,-2,0.03611819999999999|0.010140999999999956|0.0017657999999998175|0.00856340000000011|0.002788900000000094|0.8070709|0.017014000000000085|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,4,0.6595744680851063,0.7225156501894843,0.5634187422266892,0.6980123891002349,0.71996972217038,0.2835377510853226,0.8371877890841813,0.6792452830188679,0.6642066420664207,0.0034861800000000275,-1,-2,0.0016791999999998808|0.003845499999999946|0.0007071999999999079|0.0019835999999999743|0.0010749000000001008|0.015013500000000013|0.002330699999999908|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.0058529399999999844,-1,-2,0.0033028999999999975|0.0020570000000001976|0.0012335999999999459|0.0021800000000000708|0.0011311000000000515|0.014734600000000153|0.0020809999999999995|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.006403959999999964,-1,-2,0.001751000000000058|0.002561999999999953|0.0008596999999999078|0.0022712000000000288|0.0012640000000001539|0.01426359999999982|0.0022229000000000276|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.006154860000000007,-1,-2,0.0017895000000001104|0.0018701000000000967|0.0006482000000000987|0.0021459999999999813|0.0010763999999998664|0.015663399999999994|0.00213770000000002|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.006079239999999997,-1,-2,0.001733399999999996|0.0018091999999998443|0.0006558999999999315|0.0018962000000000145|0.0015622999999997944|0.014662699999999917|0.0021321999999999175|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.00647278,-1,-2,0.0057779000000000025|0.002605100000000027|0.000707499999999861|0.0021028000000000713|0.001243799999999906|0.017924199999999946|0.00198189999999987|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.005871320000000013,-1,-2,0.0017183000000000614|0.0016499999999999293|0.0006390000000000562|0.0019131999999999483|0.0010407000000001165|0.015987500000000043|0.0031927999999998846|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.006125880000000005,-1,-2,0.001734200000000019|0.0017224999999998492|0.0006129000000001383|0.0019652999999999476|0.0011326000000000391|0.014468099999999984|0.001945899999999945|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.005564219999999986,-1,-2,0.003078200000000031|0.002036000000000149|0.0012283999999997963|0.0022447999999999357|0.0011965000000000447|0.015804099999999988|0.0021830999999998824|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.006121379999999998,-1,-2,0.0017236999999998837|0.001689399999999841|0.0010289000000001103|0.003719800000000051|0.0011133000000000948|0.013770300000000013|0.0020274000000000125|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.0062001599999999876,-1,-2,0.0017209000000000252|0.001802199999999976|0.0006237000000000048|0.0018926999999999694|0.0011441000000000923|0.015252800000000066|0.0026880000000000237|
Soybean_small,47,21,4,-1,-1,Overlap,5,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.006105859999999996,-1,-2,0.0019282999999998829|0.002235500000000057|0.0007200000000000539|0.001947000000000143|0.0011204000000000214|0.015606500000000079|0.002227299999999932|
