dbname,n,d,k,range,sigma_ratio,Measure,n_init,n_iter,iter,Purity,NMI,ARI,AMI,Homogeneity,Silhouette,Accuracy,Precision,Recall,Time,LSH_time,Score,Scoringtime
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.19148936170212766,0.12727573455951488,0.008303339293103559,0.04085104506791562,0.14152355424267224,-0.13529991709812822,0.5652173913043478,0.25552825552825553,0.3837638376383764,0.0025063999999999087,-1,-2,0.0016150999999999804|0.003878799999999849|0.000942699999999963|0.0025558999999999443|0.0011567999999999579|0.014285699999999846|0.0021132999999999846|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.3404255319148936,0.22976971750335168,0.1317622586758261,0.17711152979822803,0.27807667288917576,0.007917349376309253,0.5985198889916744,0.3224400871459695,0.5461254612546126,0.044468299999999905,-1,-2,0.004207700000000036|0.015723299999999885|0.0013788000000001244|0.0059466999999999715|0.002140299999999984|0.034898899999999955|0.005054399999999903|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.3617021276595745,0.24598572216254877,0.046615739560837546,0.16802335771562038,0.32471282402730167,-0.23598713241497754,0.513413506012951,0.27353463587921845,0.5682656826568265,0.021178600000000047,-1,-2,0.0025068999999999786|0.0031754999999999978|0.0006535000000000846|0.0018960999999999562|0.001053900000000052|0.014710599999999907|0.002810699999999944|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.2127659574468085,0.0,0.0,0.0,1.0,-1,0.2506938020351526,0.2506938020351526,1.0,0.05481639999999999,-1,-2,0.0018050000000000566|0.004190999999999834|0.0007580000000000364|0.002033700000000138|0.0012265000000000192|0.0002409999999999357|0.001533899999999866|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.2978723404255319,0.39670613819242323,0.31566350681865524,0.35913606937427045,0.44958580668896836,0.08028730637372831,0.7132284921369103,0.4465753424657534,0.6014760147601476,0.027183500000000027,-1,-2,0.0024263999999998287|0.004169000000000089|0.0006964000000000414|0.0020465999999998985|0.0011692000000000924|0.014501399999999887|0.0023062999999998723|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.2765957446808511,0.3174221469412482,0.1871192816298929,0.24134801689527924,0.3790822420976323,0.017539867339037937,0.6049953746530989,0.34705882352941175,0.6531365313653137,0.03180840000000007,-1,-2,0.00193180000000015|0.0038173000000001345|0.0006748000000000864|0.0021575000000000344|0.0012290000000001466|0.013921799999999873|0.0018103000000000424|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.3829787234042553,0.2822711656050098,0.2144448946515397,0.21590774031302482,0.2887691409326448,-0.006155467890654869,0.6947271045328399,0.4013377926421405,0.44280442804428044,0.079148,-1,-2,0.0038274000000000363|0.004566100000000128|0.00118829999999992|0.0029137999999999664|0.0022215000000000984|0.021511500000000128|0.0039229000000000624|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.5531914893617021,0.6259051206419424,0.48862551635002827,0.5911159375166544,0.6667851689674517,0.162626019997957,0.7927844588344126,0.5701492537313433,0.7047970479704797,0.0958867000000001,-1,-2,0.0026789000000000396|0.0019639000000000184|0.000650700000000004|0.0020151000000001584|0.0011258000000000656|0.01499499999999987|0.0022931999999999952|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.3404255319148936,0.23210501732070604,0.11188180153000757,0.1625446680634258,0.23421988004673847,-0.05839441441620378,0.6614246068455134,0.3321554770318021,0.34686346863468637,0.09555000000000002,-1,-2,0.0020205000000002027|0.002017100000000216|0.0006649000000000793|0.003524900000000164|0.0022771999999999792|0.013605599999999995|0.0019849999999999035|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.44680851063829785,0.3243092031477804,0.1852828831297854,0.26000502358323324,0.33850788630366874,0.04103733438344074,0.6743755781683626,0.3746130030959752,0.44649446494464945,0.11677729999999986,-1,-2,0.0026762000000000175|0.0030743000000001963|0.0010582999999999565|0.002308100000000035|0.0012448999999998822|0.017566300000000146|0.003363000000000005|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.3191489361702128,0.3626812785935577,0.20083785115820604,0.29889006742451085,0.39124844505553613,-0.007385719842294529,0.6614246068455134,0.37333333333333335,0.5166051660516605,0.16274959999999994,-1,-2,0.002923000000000009|0.0021583999999998937|0.0008017000000000163|0.002777400000000041|0.0014358000000000981|0.02334309999999995|0.0029234000000000204|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.40425531914893614,0.37464588311271796,0.2938896670851992,0.3309765522456752,0.4607910625596017,0.18985296003127294,0.6669750231267345,0.407098121085595,0.7195571955719557,0.1923956,-1,-2,0.0029714000000000684|0.0021058000000000465|0.0007220000000001114|0.00204699999999991|0.0011642000000000596|0.014404399999999873|0.0020343000000000444|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.3191489361702128,0.23450743433243793,0.08651789790703823,0.15913156893697147,0.2591422995645873,-0.05401788906490703,0.6096207215541165,0.3028720626631854,0.4280442804428044,0.16519930000000005,-1,-2,0.0016796999999999507|0.002179799999999954|0.0007034000000001317|0.0019986000000000725|0.0010814000000001212|0.01690870000000011|0.0031973000000000695|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.23404255319148937,0.0827652238695854,-0.03004315901575023,-0.026684622288827432,0.22381928743113447,-0.1902546707244866,0.2923219241443108,0.23890063424947147,0.8339483394833949,5.2145966999999995,-1,-2,0.0016908999999998287|0.0047192000000002565|0.0013695000000000235|0.00277499999999975|0.0012125000000002828|0.017325299999999544|0.0028778999999996557|
Soybean_small,47,21,4,-1,-1,None,1,100,-1,0.23404255319148937,0.0827652238695854,-0.03004315901575023,-0.026684622288827432,0.22381928743113447,-0.19052810353500899,0.2923219241443108,0.23890063424947147,0.8339483394833949,3.9831068999999997,-1,-2,0.0017726000000006792|0.002066799999999702|0.0006839000000002926|0.0018245000000005618|0.0018440000000001788|0.01299610000000051|0.0019377999999994344|
