dbname,n,d,k,range,sigma_ratio,Measure,n_init,n_iter,iter,Purity,NMI,ARI,AMI,Homogeneity,Silhouette,Accuracy,Precision,Recall,Time,LSH_time,Score,Scoringtime
Soybean_small,47,21,4,-1,-1,Overlap,1,100,3,0.6595744680851063,0.7754813720981969,0.6666934169067149,0.7537439788127576,0.8145456221260363,0.2746812921216272,0.8649398704902868,0.6865671641791045,0.8487084870848709,0.04576050000000009,-1,12.380952380952378,0.0027136000000000937|0.012420600000000004|0.0007134000000001972|0.004908400000000146|0.0012731999999999744|0.013954500000000092|0.0034317000000001485|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,2,0.3829787234042553,0.7106142931498306,0.5524313134267905,0.6845436992987188,0.7152623643819868,0.2530678172743455,0.8297872340425532,0.6548042704626335,0.6789667896678967,0.02993699999999988,-1,12.047619047619042,0.0018141000000000407|0.0018800000000001038|0.0006524000000001084|0.001964100000000135|0.0010787999999999354|0.016782499999999922|0.0021743999999999097|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.4751663815301377,1.0,1.0,1.0,0.024611700000000125,-1,9.476190476190476,0.0017976000000001768|0.0017918999999999574|0.0006323000000001411|0.0018907999999999703|0.002513399999999999|0.012761500000000092|0.003397199999999989|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,1,0.3617021276595745,0.7970935271859988,0.5962784771194446,0.778389297968376,0.8123260311775399,0.3028854407851087,0.8427382053654024,0.6677740863787376,0.7416974169741697,0.029293100000000072,-1,12.476190476190466,0.0021347999999998812|0.00203360000000008|0.0007869999999998711|0.004169800000000112|0.0014463999999998478|0.014620099999999914|0.0025292000000001202|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,1,0.2127659574468085,0.0162797832651721,-0.041521380069737594,-0.048953215523052214,0.019256786337977668,-0.0020488734359308115,0.5337650323774283,0.22716627634660422,0.35793357933579334,0.028337999999999974,-1,20.952380952380956,0.0017956999999999557|0.0018328999999999152|0.000633099999999942|0.0019782999999999884|0.001587800000000028|0.014822399999999902|0.002136099999999974|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,1,0.19148936170212766,0.12264496666681336,0.07088826195431158,0.06663010699388909,0.1412757005331935,0.03836019680219341,0.6003700277520814,0.2930591259640103,0.42066420664206644,0.02504430000000002,-1,20.571428571428577,0.0017685000000000617|0.0017884999999999707|0.0006315000000001181|0.0019852000000000203|0.001361399999999957|0.014200800000000013|0.0022826000000000235|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,1,0.2127659574468085,0.04930435187739378,-0.016723251972839078,-0.013738703461855559,0.058320393715966534,0.025667881257755897,0.5448658649398704,0.24121779859484777,0.3800738007380074,0.025983700000000054,-1,21.190476190476197,0.0020111000000000434|0.0019996999999998266|0.0007307000000000841|0.0021063999999999528|0.001162700000000072|0.014422799999999958|0.0017063999999999968|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,1,0.3404255319148936,0.41557802051099224,0.17216523521876942,0.37206005814922005,0.546048363658921,0.14846925053972487,0.5874190564292322,0.3370577281191806,0.6678966789667896,0.026993500000000115,-1,18.238095238095237,0.0019187999999998873|0.001839499999999994|0.0006540999999999908|0.004724900000000032|0.0012319999999998998|0.01426599999999989|0.002002199999999954|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,1,0.2127659574468085,0.03767425886283848,-0.032282660191874944,-0.028116882646185937,0.04559492291664086,-0.0015804494499661356,0.5226641998149861,0.23311546840958605,0.3948339483394834,0.023701699999999937,-1,21.000000000000004,0.0043623999999999885|0.001915499999999959|0.0006672999999999263|0.0019124999999999837|0.0010654000000001052|0.014591599999999927|0.0017122000000000526|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,1,0.1702127659574468,0.06730420238248117,0.0022152482924127784,0.009574739898934446,0.07602409337705311,0.007953776566710183,0.5837187789084182,0.2520775623268698,0.33579335793357934,0.02773160000000008,-1,20.619047619047624,0.0017660000000001563|0.0018270999999998594|0.0006418000000001367|0.004358899999999943|0.0011182000000000691|0.014238199999999868|0.0020033999999999885|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,1,0.2127659574468085,0.04706550015005421,0.0070239657434906155,0.014337990624914816,0.06969303875521436,0.07485098500168964,0.5078630897317299,0.2542372881355932,0.4981549815498155,0.02658650000000007,-1,22.142857142857153,0.0019974999999998744|0.002130700000000152|0.0007597999999999772|0.002080599999999988|0.0011805000000000287|0.017810799999999904|0.0018278999999998824|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,2,0.5319148936170213,0.6473885706438531,0.5100580501025491,0.6161537345668288,0.6460679635577098,0.243814960180095,0.816836262719704,0.6367041198501873,0.6273062730627307,0.03267550000000008,-1,11.952380952380949,0.0018993999999998845|0.0018310999999999744|0.0006329999999998837|0.0027184000000000097|0.0012448000000000459|0.018044300000000124|0.002699599999999913|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,4,0.9787234042553191,0.9440560851389601,0.9355050414653063,0.9391159566123211,0.9407295152049651,0.45113751459848755,0.9759481961147086,0.9622641509433962,0.940959409594096,0.057568000000000064,-1,9.809523809523814,0.002557099999999979|0.0021876999999999036|0.0006664999999999033|0.0019124999999999837|0.0010399000000000935|0.014447800000000122|0.0020660000000001233|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,1,0.6170212765957447,0.7090323348803516,0.54646630516182,0.6829051177111469,0.7124662590377784,0.264245263517817,0.8279370952821462,0.6523297491039427,0.6715867158671587,0.02742050000000007,-1,12.380952380952374,0.0017929999999999335|0.001939800000000158|0.0006692999999999838|0.0025740000000000762|0.0014217000000000812|0.014576200000000039|0.00256119999999993|
Soybean_small,47,21,4,-1,-1,Overlap,1,100,1,0.5957446808510638,0.7512976663911024,0.5703259100366613,0.7285860823944381,0.7617585802528509,0.25167532657861125,0.8344125809435707,0.6575342465753424,0.7084870848708487,0.02755430000000003,-1,12.523809523809511,0.0020067999999999753|0.002055499999999988|0.0007637999999998701|0.0021450000000000635|0.0011830999999999925|0.015162099999999956|0.0034642999999998647|
