dbname,n,d,k,range,sigma_ratio,Measure,n_init,n_iter,iter,Purity,NMI,ARI,AMI,Homogeneity,Silhouette,Accuracy,Precision,Recall,Time,LSH_time,Scoringtime
Dpname,101,17,7,-1,-1,None,5,100,4,0.6534653465346535,0.8595575228543972,0.6958255227628196,0.8410536569975031,0.8101045479711144,0.38797514825994317,0.903960396039604,0.9424552429667519,0.9424552429667519,0.06399043999999998,-1,0.011955299999999891|0.0016372000000002274|0.0007010000000002847|0.0024636000000000102|0.0011795999999999474|0.049283899999999825|0.013099900000000275|
Dpname,101,17,7,-1,-1,None,5,100,7,0.7128712871287128,0.8363563389870208,0.6774840283039775,0.8148319802770474,0.7908849175996477,0.3865222360289906,0.8976237623762376,0.9135338345864662,0.9135338345864662,0.05984075999999998,-1,0.016883599999999888|0.0018037999999998|0.0007584999999998843|0.003754499999999883|0.0013593000000002853|0.05568430000000024|0.013243299999999625|
Dpname,101,17,7,-1,-1,None,5,100,7,0.7227722772277227,0.8247647116009482,0.8322054862638582,0.8010360393935511,0.8040675521910418,0.43322183160860583,0.9421782178217821,0.919431279620853,0.919431279620853,0.06474175999999998,-1,0.010917500000000135|0.003219000000000083|0.0007265000000002964|0.002129700000000234|0.0010889000000000593|0.050051499999999916|0.0110298000000002|
Dpname,683,35,19,-1,-1,None,5,100,11,0.5124450951683748,0.7643850408897913,0.4974719108373192,0.7400169092191619,0.7608515424689191,0.36474003002734173,0.9223281795425563,0.5537466082237529,0.5537466082237529,2.7608282800000006,-1,0.49192089999999666|0.0018399000000002275|0.0008651999999997884|0.006915399999996907|0.0012648000000012871|4.238286099999996|0.4508864000000017|
Dpname,101,16,7,-1,-1,None,5,100,5,0.8811881188118812,0.8800223274294828,0.8689823659868482,0.8640336751410942,0.8639707427087525,0.5700475934553717,0.9548514851485148,0.9497630331753555,0.9497630331753555,0.07312007999999999,-1,0.013338799999999651|0.001578999999999997|0.0006702000000000652|0.0023030999999997803|0.0011265999999996446|0.056272700000000064|0.012932399999999955|
Dpname,625,4,4,-1,-1,None,5,100,6,0.2576,0.034498790851862714,0.030983027296454135,0.030301259821319725,0.029079550993508792,0.23050837124589438,0.7028,0.4579088471849866,0.39515815580521574,0.11846547999999997,-1,0.019816700000000242|0.020411600000000085|0.000843499999999775|0.006502799999999809|0.00140000000000029|0.7247294000000002|0.013186999999999838|
Dpname,625,4,4,-1,-1,None,5,100,10,0.288,0.08190694038473954,0.09215002998547406,0.07791551699743862,0.06904059507093466,0.23050837124589443,0.7314871794871795,0.5178981233243968,0.4469266505025079,0.14777266,-1,0.01794019999999996|0.002483299999999744|0.0010527000000002396|0.0037015999999998606|0.0036669000000002505|0.7593527|0.017108299999999854|
Dpname,625,4,4,-1,-1,None,5,100,10,0.2576,0.034498790851862714,0.030983027296454135,0.030301259821319725,0.029079550993508792,0.23050837124589438,0.7028,0.4579088471849866,0.39515815580521574,0.16908888000000002,-1,0.016159900000000338|0.0024020000000000152|0.0008844999999997327|0.002887799999999885|0.0023336000000000467|0.7865612|0.014546100000000006|
Dpname,625,4,14,-1,-1,None,5,100,13,0.0992,0.10099465512366144,0.04168505639691751,0.08969391270861342,0.06819857749415191,0.15666013009102048,0.9788358974358974,0.5340562521179262,0.36414048059149723,0.4014475599999999,-1,0.015996799999999922|0.002253100000000341|0.002614200000000011|0.0031401999999998154|0.0011967999999997758|0.7195746000000001|0.0049850999999998535|
Dpname,625,4,14,-1,-1,None,5,100,10,0.0944,0.0799127016625423,0.032730435876896544,0.06838391343444682,0.05392215076679415,0.15115640913718703,0.9704615384615385,0.5127429805615551,0.4038788703640694,0.38412382,-1,0.01515999999999984|0.006019699999999961|0.0013756000000002544|0.003764399999999668|0.0018453000000002717|0.7070051999999998|0.004088900000000173|
Dpname,625,4,14,-1,-1,None,5,100,9,0.1024,0.060469743772440944,0.027219854260594836,0.04860358967344631,0.0408809276633777,0.15575980641893034,0.9677282051282051,0.48105706267539755,0.33550807372369923,0.4365928,-1,0.01809100000000008|0.0020772999999998376|0.0007643999999999984|0.00459429999999994|0.0017795999999998813|0.7148052999999996|0.0050530999999995885|
Dpname,625,4,14,-1,-1,None,5,100,13,0.1472,0.10763933884916736,0.05316474004142558,0.09636742792391798,0.07277592349935064,0.15830319260482337,0.9829846153846153,0.6644186046511628,0.6037616229923922,0.45484425999999994,-1,0.01639809999999997|0.0020907999999999483|0.0018479000000000134|0.0036963000000000967|0.0011791999999997138|0.6883903999999998|0.005756400000000106|
Dpname,625,4,3,-1,-1,None,5,100,15,0.4848,0.08789811835149323,0.10126527801687038,0.0849594886375674,0.08055143753463018,0.11465300621982298,0.5716307692307693,0.5023076923076923,0.38946941502051724,0.12535222000000004,-1,0.016454299999999922|0.004726799999999809|0.0010493000000000308|0.0031788999999999845|0.002303799999999967|0.7087902000000001|0.01971659999999975|
Dpname,47,21,14,-1,-1,None,5,100,99,0.3191489361702128,0.7298411951724676,0.4551695371834756,0.6451600032513304,0.5746062558465426,0.23712527994795676,0.9861239592969473,1.0,0.7368421052631579,0.20070478,-1,0.001923000000000119|0.0018908999999998066|0.0006583000000000006|0.0035101000000001825|0.001169899999999835|0.013890400000000191|0.0011082000000000036|
Dpname,47,21,14,-1,-1,None,5,100,18,0.10638297872340426,0.7278271731316439,0.4229119857328069,0.6471855850338258,0.5721134406897367,0.18566594500144296,0.9805735430157262,1.0,0.5434782608695652,0.29265021999999996,-1,0.002410699999999988|0.0036161999999997363|0.0014084000000003094|0.002181699999999953|0.0010463999999998919|0.012799100000000063|0.0007005000000002148|
Dpname,47,21,14,-1,-1,None,5,100,6,0.19148936170212766,0.7135934303267705,0.38563279783141063,0.6227951085066666,0.5547184281778318,0.2671962646629819,0.996299722479186,1.0,0.8857142857142857,0.048474100000000006,-1,0.0019837000000000327|0.0019194999999998519|0.0007303999999999089|0.004294899999999879|0.0011084999999999567|0.014249199999999851|0.0009010000000000407|
Dpname,101,16,14,-1,-1,None,5,100,6,0.40594059405940597,0.753453396954625,0.48074230993174016,0.6955411641742454,0.6355525634068407,0.47883836114752293,0.9827722772277228,0.9147540983606557,0.8205882352941176,0.28777142,-1,0.010416799999999782|0.001979799999999976|0.001040300000000105|0.003996400000000122|0.0012235999999998803|0.051682000000000006|0.006936500000000123|
