"[0.0, 0.05584784034748304, 0.06314789955016813, 0.06544091975963175, 0.058961879879941864, 0.06787545997207618, 0.05643887995775306, 0.07607011175276458]","[0.05584784034748304, 0.0, 0.056267805825207524, 0.06007622057684627, 0.058991304524515405, 0.06814907271021389, 0.062254247618891805, 0.08957062692649673]","[0.06314789955016813, 0.056267805825207524, 0.0, 0.05824405548407361, 0.06442509494855561, 0.06980797474216242, 0.06623972100939851, 0.0906993593896719]","[0.06544091975963175, 0.06007622057684627, 0.05824405548407361, 0.0, 0.04867647911654349, 0.062260414445886564, 0.05645197907249701, 0.08777418018064938]","[0.058961879879941864, 0.058991304524515405, 0.06442509494855561, 0.04867647911654349, 0.0, 0.03816259858273113, 0.03147633924159703, 0.09107141257762148]","[0.06787545997207618, 0.06814907271021389, 0.06980797474216242, 0.062260414445886564, 0.03816259858273113, 0.0, 0.04473000424786271, 0.09397781769627091]","[0.05643887995775306, 0.062254247618891805, 0.06623972100939851, 0.05645197907249701, 0.03147633924159703, 0.04473000424786271, 0.0, 0.0765627943731181]","[0.07607011175276458, 0.08957062692649673, 0.0906993593896719, 0.08777418018064938, 0.09107141257762148, 0.09397781769627091, 0.0765627943731181, 0.0]"
"[0.0, 0.06355721012075888, 0.07108053942293797, 0.06877085321084554, 0.07142035242325638, 0.06196453203646468, 0.07118056537581781, 0.056350748719546324]","[0.06355721012075888, 0.0, 0.05528769947621583, 0.05807311130246056, 0.05576785649045495, 0.051768345489243674, 0.07643855076498035, 0.054593019778494976]","[0.07108053942293797, 0.05528769947621583, 0.0, 0.06426936309345478, 0.06519564087442263, 0.059381864708385995, 0.07874576580209805, 0.06325223713251402]","[0.06877085321084554, 0.05807311130246056, 0.06426936309345478, 0.0, 0.050995808649649796, 0.059083698016981434, 0.07494619553201272, 0.06481430558000408]","[0.07142035242325638, 0.05576785649045495, 0.06519564087442263, 0.050995808649649796, 0.0, 0.046784747241718334, 0.07853421838043231, 0.053963880251182664]","[0.06196453203646468, 0.051768345489243674, 0.059381864708385995, 0.059083698016981434, 0.046784747241718334, 0.0, 0.067162404466434, 0.04216238883720167]","[0.07118056537581781, 0.07643855076498035, 0.07874576580209805, 0.07494619553201272, 0.07853421838043231, 0.067162404466434, 0.0, 0.0672310589642755]","[0.056350748719546324, 0.054593019778494976, 0.06325223713251402, 0.06481430558000408, 0.053963880251182664, 0.04216238883720167, 0.0672310589642755, 0.0]"
"[0.0, 0.07247761357970417, 0.047564998502342505, 0.07313546038146111, 0.06026223010412424, 0.04376082218363043, 0.04505547415366908, 0.04931594879425382]","[0.07247761357970417, 0.0, 0.0695216366158741, 0.07715488677130983, 0.0852762850845752, 0.07702015267005113, 0.08203583555614881, 0.08264574509625175]","[0.047564998502342505, 0.0695216366158741, 0.0, 0.05320464152011083, 0.05801138998586561, 0.042747202065533, 0.04873287827366829, 0.05018625621100046]","[0.07313546038146111, 0.07715488677130983, 0.05320464152011083, 0.0, 0.06903840594697723, 0.0751607880171836, 0.07838992039171781, 0.07534552817234089]","[0.06026223010412424, 0.0852762850845752, 0.05801138998586561, 0.06903840594697723, 0.0, 0.05166343411383337, 0.06427835970118798, 0.06754057813211833]","[0.04376082218363043, 0.07702015267005113, 0.042747202065533, 0.0751607880171836, 0.05166343411383337, 0.0, 0.04677599564988981, 0.0510792508371356]","[0.04505547415366908, 0.08203583555614881, 0.04873287827366829, 0.07838992039171781, 0.06427835970118798, 0.04677599564988981, 0.0, 0.042655505417988085]","[0.04931594879425382, 0.08264574509625175, 0.05018625621100046, 0.07534552817234089, 0.06754057813211833, 0.0510792508371356, 0.042655505417988085, 0.0]"
"[0.0, 0.0721263730271706, 0.07036399143535362, 0.06925273598675682, 0.07109842836126715, 0.07265689912216274, 0.060584905342015244, 0.06152402113436522]","[0.0721263730271706, 0.0, 0.07338651230001865, 0.0809649327329645, 0.08541565371725844, 0.08726951418967575, 0.08166976882150666, 0.08259454093540874]","[0.07036399143535362, 0.07338651230001865, 0.0, 0.042555839124200655, 0.03847116781906665, 0.05049077356697038, 0.05452373447964845, 0.057539379679618814]","[0.06925273598675682, 0.0809649327329645, 0.042555839124200655, 0.0, 0.031008905578689006, 0.05355949390340477, 0.0608319480402664, 0.05681755440013255]","[0.07109842836126715, 0.08541565371725844, 0.03847116781906665, 0.031008905578689006, 0.0, 0.04086432055574494, 0.058502121384477065, 0.056662329467832215]","[0.07265689912216274, 0.08726951418967575, 0.05049077356697038, 0.05355949390340477, 0.04086432055574494, 0.0, 0.05059709293796124, 0.05758094449967418]","[0.060584905342015244, 0.08166976882150666, 0.05452373447964845, 0.0608319480402664, 0.058502121384477065, 0.05059709293796124, 0.0, 0.05263769378230029]","[0.06152402113436522, 0.08259454093540874, 0.057539379679618814, 0.05681755440013255, 0.056662329467832215, 0.05758094449967418, 0.05263769378230029, 0.0]"
"[0.0, 0.05282839027575667, 0.07627712624359928, 0.07723392883534143, 0.06400017909626683, 0.07459082949440708, 0.06524887906880218, 0.06809056040790619]","[0.05282839027575667, 0.0, 0.061747781532375035, 0.07545211630030546, 0.05726114016811406, 0.06855167236524042, 0.055748364389903625, 0.06851980988100577]","[0.07627712624359928, 0.061747781532375035, 0.0, 0.06783353341452752, 0.055473880803247146, 0.06337367465712006, 0.054999613984509796, 0.07414343995559897]","[0.07723392883534143, 0.07545211630030546, 0.06783353341452752, 0.0, 0.05538372237108409, 0.06851879512684443, 0.06230906353399508, 0.07777904948661113]","[0.06400017909626683, 0.05726114016811406, 0.055473880803247146, 0.05538372237108409, 0.0, 0.04699422676026119, 0.03308209975062114, 0.06281238765344588]","[0.07459082949440708, 0.06855167236524042, 0.06337367465712006, 0.06851879512684443, 0.04699422676026119, 0.0, 0.04562967104004052, 0.0703752150375778]","[0.06524887906880218, 0.055748364389903625, 0.054999613984509796, 0.06230906353399508, 0.03308209975062114, 0.04562967104004052, 0.0, 0.053970258464818024]","[0.06809056040790619, 0.06851980988100577, 0.07414343995559897, 0.07777904948661113, 0.06281238765344588, 0.0703752150375778, 0.053970258464818024, 0.0]"
"[0.0, 0.05286831307506148, 0.09031294773872729, 0.06262321862938407, 0.07284970115546384, 0.0738114204811545, 0.05905805469323419, 0.06763186814219008]","[0.05286831307506148, 0.0, 0.08296038735107882, 0.03659272944571415, 0.05564334105096998, 0.0520706060674059, 0.02818814861509646, 0.059797146484867655]","[0.09031294773872729, 0.08296038735107882, 0.0, 0.0777207405392308, 0.09164598572668341, 0.09275230792670494, 0.09311995485062037, 0.09863123409200149]","[0.06262321862938407, 0.03659272944571415, 0.0777207405392308, 0.0, 0.050528441949151466, 0.05682121549562152, 0.03711699379741326, 0.0642996908080133]","[0.07284970115546384, 0.05564334105096998, 0.09164598572668341, 0.050528441949151466, 0.0, 0.06115082222230343, 0.05618999676214554, 0.06899656142617576]","[0.0738114204811545, 0.0520706060674059, 0.09275230792670494, 0.05682121549562152, 0.06115082222230343, 0.0, 0.04551648851325185, 0.0746518258121162]","[0.05905805469323419, 0.02818814861509646, 0.09311995485062037, 0.03711699379741326, 0.05618999676214554, 0.04551648851325185, 0.0, 0.05665391201461257]","[0.06763186814219008, 0.059797146484867655, 0.09863123409200149, 0.0642996908080133, 0.06899656142617576, 0.0746518258121162, 0.05665391201461257, 0.0]"
"[0.0, 0.06678073493180547, 0.0570404491215968, 0.049200664843836416, 0.052800658687398236, 0.0791301869913756, 0.06440601230892841, 0.029635262907142038]","[0.06678073493180547, 0.0, 0.06408521627516404, 0.07161830272833428, 0.07589847259614249, 0.08376192186385112, 0.07796729157238155, 0.07523823225413416]","[0.0570404491215968, 0.06408521627516404, 0.0, 0.05012858708397809, 0.05905767207334797, 0.07808431240570905, 0.07316951235457143, 0.05415542218499278]","[0.049200664843836416, 0.07161830272833428, 0.05012858708397809, 0.0, 0.047314642499406666, 0.07311825848008696, 0.0626674952471415, 0.042439874102311925]","[0.052800658687398236, 0.07589847259614249, 0.05905767207334797, 0.047314642499406666, 0.0, 0.06566940255547288, 0.06458135222234689, 0.04647209916243334]","[0.0791301869913756, 0.08376192186385112, 0.07808431240570905, 0.07311825848008696, 0.06566940255547288, 0.0, 0.06748693178246744, 0.07936949633856077]","[0.06440601230892841, 0.07796729157238155, 0.07316951235457143, 0.0626674952471415, 0.06458135222234689, 0.06748693178246744, 0.0, 0.06420346748826539]","[0.029635262907142038, 0.07523823225413416, 0.05415542218499278, 0.042439874102311925, 0.04647209916243334, 0.07936949633856077, 0.06420346748826539, 0.0]"
"[0.0, 0.08153594270040423, 0.09400260407483896, 0.0950574886030998, 0.1103022480093462, 0.09042901310860021, 0.09537046335641247, 0.08203247242732961]","[0.08153594270040423, 0.0, 0.05084504818226237, 0.05259013660490908, 0.09604269611346848, 0.056650704192563565, 0.054477793466579084, 0.05294530600056992]","[0.09400260407483896, 0.05084504818226237, 0.0, 0.03760653621090704, 0.09920123168936208, 0.06007182755030913, 0.047455921142302536, 0.04790299871508459]","[0.0950574886030998, 0.05259013660490908, 0.03760653621090704, 0.0, 0.0890948789364191, 0.04710309940149578, 0.03069357992333904, 0.041625427595402255]","[0.1103022480093462, 0.09604269611346848, 0.09920123168936208, 0.0890948789364191, 0.0, 0.0865459446324731, 0.10277633542007927, 0.1007695198862932]","[0.09042901310860021, 0.056650704192563565, 0.06007182755030913, 0.04710309940149578, 0.0865459446324731, 0.0, 0.04966145953664902, 0.05592812598687483]","[0.09537046335641247, 0.054477793466579084, 0.047455921142302536, 0.03069357992333904, 0.10277633542007927, 0.04966145953664902, 0.0, 0.0274471343154336]","[0.08203247242732961, 0.05294530600056992, 0.04790299871508459, 0.041625427595402255, 0.1007695198862932, 0.05592812598687483, 0.0274471343154336, 0.0]"
"[0.0, 0.059003127928830904, 0.07426950688026736, 0.07952561477930756, 0.0665108214863244, 0.0674284755248909, 0.07915938457369717, 0.061657185170992584]","[0.059003127928830904, 0.0, 0.05467264754398053, 0.06249743979844713, 0.036706510155169125, 0.04584455945785881, 0.07651641470647327, 0.050562455936286964]","[0.07426950688026736, 0.05467264754398053, 0.0, 0.06944914766904331, 0.05961909871003651, 0.059308483453313486, 0.08096983146158199, 0.05911698006542855]","[0.07952561477930756, 0.06249743979844713, 0.06944914766904331, 0.0, 0.06198075206515759, 0.0642389926259243, 0.08155457265196688, 0.06025886621565317]","[0.0665108214863244, 0.036706510155169125, 0.05961909871003651, 0.06198075206515759, 0.0, 0.049805541678211475, 0.07678537968902843, 0.056026708928874444]","[0.0674284755248909, 0.04584455945785881, 0.059308483453313486, 0.0642389926259243, 0.049805541678211475, 0.0, 0.07061984132965354, 0.051798002429520276]","[0.07915938457369717, 0.07651641470647327, 0.08096983146158199, 0.08155457265196688, 0.07678537968902843, 0.07061984132965354, 0.0, 0.06938406481341085]","[0.061657185170992584, 0.050562455936286964, 0.05911698006542855, 0.06025886621565317, 0.056026708928874444, 0.051798002429520276, 0.06938406481341085, 0.0]"
"[0.0, 0.04751047979224072, 0.07694306829282066, 0.054789488779365826, 0.06589839120297296, 0.06682215211493926, 0.05645868074034494, 0.05131379893844003]","[0.04751047979224072, 0.0, 0.069863371098418, 0.05851443752779498, 0.06801631457068542, 0.06692727692178398, 0.06049590187824604, 0.05930264949818633]","[0.07694306829282066, 0.069863371098418, 0.0, 0.06869124379834476, 0.07641312341758957, 0.07150525341412171, 0.0843920791458704, 0.08417169983438641]","[0.054789488779365826, 0.05851443752779498, 0.06869124379834476, 0.0, 0.04648321270357611, 0.05032905915013557, 0.049880641954042265, 0.05874650165752018]","[0.06589839120297296, 0.06801631457068542, 0.07641312341758957, 0.04648321270357611, 0.0, 0.056929014700396005, 0.06211636670689111, 0.06711128055290702]","[0.06682215211493926, 0.06692727692178398, 0.07150525341412171, 0.05032905915013557, 0.056929014700396005, 0.0, 0.05141504925637946, 0.06684691288444423]","[0.05645868074034494, 0.06049590187824604, 0.0843920791458704, 0.049880641954042265, 0.06211636670689111, 0.05141504925637946, 0.0, 0.050819066321077806]","[0.05131379893844003, 0.05930264949818633, 0.08417169983438641, 0.05874650165752018, 0.06711128055290702, 0.06684691288444423, 0.050819066321077806, 0.0]"
