dbname,n,d,k,range,sigma_ratio,Measure,n_init,n_iter,iter,Purity,NMI,ARI,AMI,Homogeneity,Silhouette,Accuracy,Precision,Recall,Time,LSH_time,Score,Scoringtime
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,6.399932317435741e-07,-1,-2,0.024507900001481175|0.001399400003720075|0.0005763999652117491|0.0009760999819263816|0.000692299974616617|0.00015889998758211732|0.012787499988917261|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,3.6000274121761323e-07,-1,-2,0.024167000025045127|0.0012066999915987253|0.0006206000107340515|0.001014099980238825|0.0007218000246211886|0.0001659000408835709|0.012816500035114586|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,4.5999186113476755e-07,-1,-2,0.026359700015746057|0.001291199994739145|0.0006528000230900943|0.0010162999969907105|0.0007301000296138227|0.00016579998191446066|0.01522649999242276|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,2.399901859462261e-07,-1,-2,0.0238909000181593|0.0011910999892279506|0.0006124000065028667|0.0009973999694921076|0.0007171999895945191|0.00015759997768327594|0.012737600016407669|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,3.2000243663787844e-07,-1,-2,0.02460820000851527|0.001234399969689548|0.0006083999760448933|0.0009901999728754163|0.0007096999906934798|0.00015959999291226268|0.012825599987991154|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,2.400018274784088e-07,-1,-2,0.02447449997998774|0.0011517000384628773|0.0006057000136934221|0.000991599983535707|0.0007121000089682639|0.00015710003208369017|0.012876099965069443|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,0.0005533199990168213,-1,-2,0.027255899971351027|0.0012517000432126224|0.0006136000156402588|0.001025899953674525|0.0007238999824039638|0.00015919998986646533|0.012873300001956522|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,0.0014924000017344952,-1,-2,0.024356900015845895|0.0012120999745093286|0.0006125000072643161|0.0010019000037573278|0.0007217000238597393|0.00016310001956298947|0.012948299990966916|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,0.0009056600043550134,-1,-2,0.024469900003168732|0.0013188999728299677|0.0007827000226825476|0.0010451000416651368|0.0007250999915413558|0.0001708000199869275|0.012872899998910725|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,0.0010241399984806776,-1,-2,0.024549300025682896|0.0012514999834820628|0.0006111999973654747|0.001012300024740398|0.0007736999541521072|0.0001618000096641481|0.01275799999712035|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,0.0010011200094595552,-1,-2,0.02455159998498857|0.0012061999877914786|0.0006200000061653554|0.001019999966956675|0.0007354000117629766|0.00016910000704228878|0.012883700022939593|
Dpname,512,20,20,-1,-1,None,5,100,-1,0.05078125,0.0,0.0,0.0,1.0,-1,0.048159246575342464,0.048159246575342464,1.0,0.0032879000063985586,-1,-2,0.025409199995920062|0.00122969999210909|0.0006151999696157873|0.00102680001873523|0.0007301000296138227|0.00016659998800605536|0.013718299975153059|
