dbname,n,d,k,range,sigma_ratio,Measure,n_init,n_iter,iter,Purity,NMI,ARI,AMI,Homogeneity,Silhouette,Accuracy,Precision,Recall,Time,LSH_time,Score,seed,Scoringtime
Syn_1024_64_64_2_10,1024,64,64,-1,-1,None,5,10,-1,0.453125,0.9247094470780274,0.6309288852104158,0.8949428184076015,0.9999999999999999,0.565390286643602,0.9833822091886608,0.46875,1.0,2.094314626324922,-1,-2,1806,0.49325898941606283|0.0028949668630957603|0.00082815857604146|0.004088885150849819|0.0011136760003864765|6.806500100065023|0.670914551243186|
Syn_1024_64_64_2_10,1024,64,64,-1,-1,None,5,10,-1,0.5,0.937730612205084,0.7001934235976789,0.9116681083614169,0.9999999999999998,0.5826193847500416,0.987781036168133,0.5454545454545454,1.0,2.1435827423818408,-1,-2,125327,0.4866149057634175|0.0028309179469943047|0.0008134711533784866|0.004167552106082439|0.0010843398049473763|6.7605596436187625|0.6973292408511043|
Syn_1024_64_64_2_10,1024,64,64,-1,-1,None,5,10,-1,0.515625,0.9347838765819261,0.6917889174720155,0.9079556272136661,0.9999999999999997,0.5745760695038789,0.9872922776148583,0.5357142857142857,1.0,2.3409130924381314,-1,-2,177555,0.47953993966802955|0.0029024723917245865|0.0008189408108592033|0.004144669976085424|0.001083970069885254|6.8257815251126885|0.6878987639211118|
Syn_1024_64_64_2_10,1024,64,64,-1,-1,None,5,10,-1,0.359375,0.9032105636505315,0.585514808336545,0.8696804116124828,0.9999999999999998,0.43320731670253354,0.979960899315738,0.4225352112676056,1.0,2.5624900381080806,-1,-2,129237,0.49351447029039264|0.002839453984051943|0.0008084112778306007|0.0036144619807600975|0.0010816161520779133|6.778181616682559|0.6443264251574874|
Syn_2048_64_64_2_10,2048,64,64,-1,-1,None,5,10,-1,0.5,0.9395569008081355,0.7069300239953727,0.9262276496558304,0.9999999999999996,-2,0.9877870053737177,0.5535714285714286,1.0,3.935546586010605,-1,-2,191170,0.9812928740866482|0.003217334859073162|0.0009599272161722183|0.007094250991940498|0.0013164370320737362|1.0719522833824158e-06|0.9257147717289627|
Syn_2048_64_64_2_10,2048,64,64,-1,-1,None,5,10,-1,0.484375,0.9239708899701439,0.6453959904880392,0.9086230953482268,0.9999999999999998,-2,0.9838788470933073,0.484375,1.0,4.39275435982272,-1,-2,136311,0.9519338039681315|0.003140940796583891|0.0009695850312709808|0.006629586685448885|0.0013305442407727242|1.2819655239582062e-06|0.8792937300167978|
Syn_2048_64_64_2_10,2048,64,64,-1,-1,None,5,10,-1,0.5,0.9222806054786574,0.6315827364025773,0.9066216826045113,0.9999999999999998,-2,0.9829018075232047,0.4696969696969697,1.0,4.403407485969365,-1,-2,7393,0.9729685019701719|0.0032562180422246456|0.0009573521092534065|0.006621993146836758|0.001310085877776146|1.3229437172412872e-06|0.8336439691483974|
Syn_2048_64_64_2_10,2048,64,64,-1,-1,None,5,10,-1,0.515625,0.9209472123378957,0.6384181377998982,0.9053375185096448,0.9999999999999997,-2,0.9833903273082559,0.47692307692307695,1.0,4.704247054178268,-1,-2,170649,0.951460865791887|0.0031263031996786594|0.0009550168178975582|0.006489743012934923|0.0013176300562918186|1.2419186532497406e-06|0.8661417891271412|
Syn_4096_64_64_2_10,4096,64,64,-1,-1,None,5,10,-1,0.578125,0.9366203027305572,0.7019400352733686,0.9299779137500248,0.9999999999999999,-2,0.9873015873015873,0.5478260869565217,1.0,8.04366073096171,-1,-2,10781,1.8820897499099374|0.003701074980199337|0.0012426190078258514|0.012568223755806684|0.001744783017784357|1.1827796697616577e-06|1.290729823987931|
Syn_4096_64_64_2_10,4096,64,64,-1,-1,None,5,10,-1,0.515625,0.9286918678193754,0.6633249791144528,0.9215508634403395,1.0,-2,0.9848595848595849,0.504,1.0,8.648042730148882,-1,-2,161926,1.938441626727581|0.003673984669148922|0.001231728121638298|0.012012457940727472|0.0017560250125825405|1.0421499609947205e-06|1.2702257647179067|
Syn_4096_64_64_2_10,4096,64,64,-1,-1,None,5,10,-1,0.5,0.910044499414636,0.6093388811835414,0.9021564798103153,0.9999999999999998,-2,0.9809523809523809,0.44680851063829785,1.0,9.195427612029016,-1,-2,175354,1.9254752141423523|0.003709582146257162|0.001260541845113039|0.010862003080546856|0.0017563560977578163|9.82079654932022e-07|1.2642575418576598|
Syn_4096_64_64_2_10,4096,64,64,-1,-1,None,5,10,-1,0.515625,0.9358980223039078,0.7101836989477439,0.9293441340244694,0.9999999999999998,-2,0.9877899877899878,0.5575221238938053,1.0,9.204863184411078,-1,-2,7585,1.9342101640067995|0.003658795729279518|0.0012145149521529675|0.012196074239909649|0.0017044381238520145|1.0319054126739502e-06|1.2766632600687444|
Syn_8192_64_64_2_10,8192,64,64,-1,-1,None,5,10,-1,0.546875,0.9284455380910276,0.6578386732946239,0.9250511261796773,1.0,-2,0.9843730924185081,0.4980392156862745,1.0,14.649958664830773,-1,-2,38474,3.7524909102357924|0.004800783935934305|0.0018186219967901707|0.02322786906734109|0.0026414808817207813|8.21426510810852e-07|1.8888092767447233|
Syn_8192_64_64_2_10,8192,64,64,-1,-1,None,5,10,-1,0.53125,0.9340590984359125,0.6955282689233896,0.9309656631337452,1.0,-2,0.9868147967281162,0.5404255319148936,1.0,16.84740550601855,-1,-2,69092,3.730993017088622|0.004820459987968206|0.0018313159234821796|0.023235293105244637|0.00264647975564003|1.0817311704158783e-06|2.1088147941045463|
Syn_8192_64_64_2_10,8192,64,64,-1,-1,None,5,10,-1,0.515625,0.9258447556023446,0.6650609211579834,0.9225265226711055,1.0,-2,0.9848614332804297,0.5059760956175299,1.0,17.075391886755824,-1,-2,116144,3.7981606600806117|0.004849596414715052|0.0018065189942717552|0.022238687612116337|0.0026176348328590393|1.171603798866272e-06|2.1749538010917604|
Syn_8192_64_64_2_10,8192,64,64,-1,-1,None,5,10,-1,0.515625,0.918501325576769,0.6238617507288394,0.9149245708383903,0.9999999999999997,-2,0.9819313881089,0.4618181818181818,1.0,17.961870101839303,-1,-2,120597,3.820061089936644|0.004779443610459566|0.001837597694247961|0.021844245959073305|0.002669583074748516|1.2316741049289703e-06|2.1509611322544515|
Syn_16384_64_64_2_10,16384,64,64,-1,-1,None,5,10,-1,-2,0.9325485711924862,0.6884946665906109,0.9310854994181248,1.0,-2,-2,-2,-2,31.59035252360627,-1,-2,168059,1.8594786524772644e-05|0.00859736604616046|0.0029979608952999115|0.050498184747993946|0.004429974593222141|6.7730434238910675e-06|7.408671081066132e-07|
Syn_16384_64_64_2_10,16384,64,64,-1,-1,None,5,10,-1,-2,0.9295729752105966,0.680809982283905,0.9280811783361523,1.0,-2,-2,-2,-2,32.82306975042447,-1,-2,162999,8.405651897192001e-06|0.007205697242170572|0.0029532057233154774|0.04943089885637164|0.00438795518130064|1.0211952030658722e-06|6.621703505516052e-07|
Syn_16384_64_64_2_10,16384,64,64,-1,-1,None,5,10,-1,-2,0.9112109692687964,0.5940078804549848,0.9094434032582829,0.9999999999999997,-2,-2,-2,-2,33.46740703117102,-1,-2,79602,1.9167084246873856e-05|0.008523276075720787|0.0030248407274484634|0.04611205495893955|0.004537937697023153|7.243361324071884e-06|8.218921720981598e-07|
Syn_16384_64_64_2_10,16384,64,64,-1,-1,None,5,10,-1,-2,0.9202426917224557,0.6183773525225368,0.9185805261261958,0.9999999999999999,-2,-2,-2,-2,33.96435965085402,-1,-2,70969,9.026844054460526e-06|0.007220946252346039|0.0029418449848890305|0.04823635099455714|0.004318835213780403|3.186054527759552e-06|7.320195436477661e-07|
Syn_4096_64_8_2_10,4096,64,8,-1,-1,None,5,10,-1,0.5,0.8900479793548614,0.6753006475485661,0.8897958793608002,1.0000000000000002,0.7214257794322941,0.9062271062271062,0.5709497206703911,1.0,0.9763624453917146,-1,-2,18216,0.03399015683680773|0.003121078945696354|0.00111678009852767|0.003627792000770569|0.001630736980587244|106.46063920017332|0.019382207188755274|
Syn_4096_64_8_2_10,4096,64,8,-1,-1,None,5,10,-1,0.75,0.9090909090909091,0.7643979057591623,0.908886096162577,1.0,0.7127329002449507,0.9374847374847375,0.666232073011734,1.0,1.2508410530164837,-1,-2,197935,0.036015104968100786|0.0030886181630194187|0.0011622360907495022|0.003554804716259241|0.001502856146544218|106.35915122693405|0.018249887973070145|
Syn_4096_64_8_2_10,4096,64,8,-1,-1,None,5,10,-1,0.5,0.776917762622133,0.5344580614356199,0.776580161775382,1.0000000000000002,0.5034894387057888,0.8437118437118437,0.4439617723718506,1.0,1.400229126960039,-1,-2,11556,0.036103310994803905|0.003000090830028057|0.001082134898751974|0.0029314029961824417|0.0014681811444461346|106.95928144687787|0.01248991722241044|
Syn_4096_64_8_2_10,4096,64,8,-1,-1,None,5,10,-1,0.625,0.8571428571428571,0.6753006475485661,0.8568733212826627,1.0,0.5355249927292938,0.9062271062271062,0.5709497206703911,1.0,1.529599991813302,-1,-2,64477,0.03590007871389389|0.003007073886692524|0.0010701119899749756|0.003152717836201191|0.0014135679230093956|107.67917065881193|0.017135892994701862|
Syn_4096_8_64_2_10,4096,8,64,-1,-1,None,5,10,-1,0.421875,0.905766295270475,0.5740498034076016,0.8972339805740279,0.9999999999999999,-2,0.978021978021978,0.4117647058823529,1.0,1.0828811801970004,-1,-2,100716,1.9631819049827754|0.003280719742178917|0.001227939035743475|0.011079788208007812|0.001744300127029419|9.513460099697113e-07|1.1605398319661617|
